feature,importancia
cat__profesional_responsable_MED-027,0.004429048
cat__medico_tratante_MED-002,0.004368162
cat__profesional_responsable_MED-002,0.004338461
cat__tipo_documento_RC,0.0043167244
cat__profesional_responsable_MED-029,0.0042524543
cat__profesional_responsable_MED-036,0.004246913
cat__profesional_responsable_MED-028,0.0042342823
cat__profesional_responsable_MED-004,0.0041414024
cat__profesional_responsable_MED-015,0.004123124
cat__profesional_responsable_MED-007,0.0041175066
cat__profesional_responsable_MED-022,0.004110179
cat__sede_Sede Urgencias,0.0038634774
cat__profesional_responsable_MED-039,0.0038528703
cat__medico_tratante_MED-009,0.0038050867
cat__profesional_responsable_MED-012,0.0036269464
cat__medico_tratante_MED-029,0.0033831224
cat__profesional_responsable_MED-037,0.0032687902
cat__profesional_responsable_MED-030,0.003135094
cat__profesional_responsable_MED-011,0.0029008857
cat__profesional_responsable_MED-024,0.0028897547
cat__profesional_responsable_MED-021,0.0028444503
cat__tipo_afiliacion_Subsidiado,0.002768771
cat__sexo_M,0.0026525618
cat__profesional_responsable_MED-033,0.0026221713
cat__profesional_responsable_MED-014,0.0021370093
cat__profesional_responsable_MED-025,0.0019330297
cat__profesional_responsable_MED-034,0.0017826472
cat__profesional_responsable_MED-017,0.0016908823
cat__soporte_clinico_NO,0.0
cat__soporte_clinico_SI,0.0
cat__profesional_responsable_SIN_DATO,0.0
