feature,importancia
cat__profesional_responsable_MED-020,0.0052017947
cat__medico_tratante_MED-009,0.00511831
num__cups_con_soporte_count,0.0051066307
num__tratamiento_complejo_hospitalario,0.0050200885
cat__medico_tratante_MED-020,0.005000852
cat__diagnostico_principal_cie10_S824,0.0049933395
cat__profesional_responsable_MED-002,0.0049777925
cat__profesional_responsable_MED-018,0.0049730344
cat__profesional_responsable_MED-024,0.0049679237
cat__medico_tratante_MED-026,0.0048543
cat__medico_tratante_MED-033,0.004819103
cat__tipo_documento_TI,0.0047826623
num__proporcion_cups_con_soporte,0.0047404296
cat__grupo_etario_0-17,0.0046901014
cat__medico_tratante_MED-040,0.004609652
cat__tipo_documento_CC,0.004584984
cat__medico_tratante_MED-017,0.0045437794
cat__sede_Sede Sur,0.004524529
cat__ciudad_Medellin,0.0045131803
cat__diagnostico_principal_cie10_J189,0.004508749
num__edad,0.0044481433
cat__sede_Sede Norte,0.004394441
cat__diagnostico_principal_cie10_R073,0.004372026
cat__diagnostico_principal_cie10_H269,0.0043543563
cat__medico_tratante_MED-006,0.0043408405
num__total_cups_pf,0.004333581
cat__profesional_responsable_MED-035,0.0042993734
cat__profesional_responsable_MED-016,0.0042784605
cat__profesional_responsable_MED-014,0.004261146
cat__tipo_afiliacion_Contributivo,0.004242191
cat__medico_tratante_MED-008,0.0042058756
cat__eps_atencion_Sanitas,0.004204767
cat__eps_atencion_Famisanar,0.004185756
cat__eps_atencion_Compensar,0.004143992
cat__tipo_documento_RC,0.004133489
cat__profesional_responsable_MED-039,0.0041313334
num__es_ambulatorio,0.004127319
cat__ciudad_Bucaramanga,0.004126282
num__mes_atencion,0.0041132593
cat__diagnostico_principal_cie10_O800,0.004105986
cat__medico_tratante_MED-013,0.0040831272
num__servicio_alto_valor_ambulatorio,0.004068818
cat__tipo_afiliacion_Subsidiado,0.003982839
cat__ciudad_Barranquilla,0.003980433
cat__grupo_etario_18-39,0.003902386
cat__eps_atencion_Nueva EPS,0.0038880352
cat__medico_tratante_MED-011,0.0038835797
cat__sexo_F,0.003851544
num__dias_atencion_a_facturacion,0.0037928608
cat__profesional_responsable_MED-007,0.0037472802
cat__profesional_responsable_MED-015,0.003729026
num__es_hospitalario,0.003726232
cat__eps_atencion_Coosalud,0.0036818814
cat__diagnostico_principal_cie10_A090,0.0036750368
num__proporcion_cups_sin_soporte,0.0036325036
cat__medico_tratante_MED-029,0.0036317108
cat__profesional_responsable_MED-017,0.0036245268
cat__medico_tratante_MED-039,0.003621423
cat__tipo_item_consulta,0.0036185086
cat__ciudad_Bogota,0.003616627
cat__medico_tratante_MED-025,0.0035225847
cat__diagnostico_principal_cie10_N390,0.003517137
cat__profesional_responsable_MED-034,0.0034558717
cat__medico_tratante_MED-003,0.0034287376
cat__profesional_responsable_MED-022,0.0033681975
cat__medico_tratante_MED-022,0.0032866122
cat__tipo_item_examen,0.0032035515
cat__diagnostico_principal_cie10_I219,0.0031637314
num__valor_unitario,0.0031635158
cat__diagnostico_principal_cie10_C349,0.0031107513
cat__sede_Sede Centro,0.003100768
cat__profesional_responsable_MED-027,0.003094648
cat__profesional_responsable_MED-009,0.003082119
cat__profesional_responsable_MED-004,0.002976986
cat__grupo_etario_60-79,0.002974925
cat__medico_tratante_MED-002,0.0029680396
cat__tipo_atencion_Urgencias,0.0029172644
cat__tipo_item_tratamiento,0.0028890907
cat__tipo_atencion_Ambulatoria,0.0028752321
cat__sede_Sede Urgencias,0.0027406185
num__valor_total,0.0027049214
cat__profesional_responsable_MED-011,0.0026880784
cat__eps_atencion_Sura EPS,0.0026847054
cat__profesional_responsable_MED-006,0.0026361118
cat__ciudad_Cali,0.0025943492
cat__profesional_responsable_MED-029,0.0025792234
cat__medico_tratante_MED-021,0.002425882
cat__profesional_responsable_MED-028,0.0023896827
cat__profesional_responsable_MED-030,0.0021361266
cat__profesional_responsable_MED-008,0.0020090102
cat__profesional_responsable_MED-013,0.0019605835
cat__profesional_responsable_MED-031,0.0018283657
cat__profesional_responsable_MED-010,0.0016883515
cat__profesional_responsable_MED-021,0.001453187
cat__medico_tratante_MED-023,0.0014516073
cat__medico_tratante_MED-031,0.0013312318
cat__profesional_responsable_MED-001,0.0012100327
cat__profesional_responsable_MED-023,0.0011228177
cat__profesional_responsable_MED-003,0.0
cat__soporte_clinico_NO,0.0
cat__soporte_clinico_SI,0.0
cat__tipo_item_SIN_DATO,0.0
num__eps_coincide_paciente,0.0
num__facturacion_tardia,0.0
cat__profesional_responsable_SIN_DATO,0.0
